Anomalie: tip_amount > total_amount
Liczba podejrzanych rekordów: 35506

      VendorID  fare_amount  tip_amount  total_amount
99           2        -13.5         0.0        -18.50
506          2        -31.5         0.0        -34.25
536          2         -5.8         0.0        -10.80
552          2        -33.1         0.0        -38.10
682          2        -47.8         0.0        -52.80
999          2         -9.3         0.0        -14.30
1057         2        -11.4         0.0        -16.40
1195         2        -40.1         0.0        -45.10
1382         2         -3.0         0.0         -8.00
1472         2        -11.4         0.0        -16.40
